in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
True,inf,0,3,0,False,False,False,1.0,2.2818169001291564e-10;4.547473508864641e-13;2.1221651314270901e-10;,1.4513807997431995e-10;6.431098710768743e-13;2.1325662962300952e-10;
True,inf,0,3,0,False,False,False,1.0,3.663204435205904e-12;2.2737367544323206e-13;5.4815450149559775e-11;,2.1359817569709703e-12;6.821210263296962e-13;6.980186675935302e-11;
True,inf,0,3,0,False,False,False,1.0,2.5421149729252077e-13;2.1450107198546058e-10;1.6077746776921858e-13;,2.5421149729252077e-13;2.0682835515375208e-10;3.2155493553843715e-13;
True,inf,0,3,0,False,False,False,1.0,3.2155493553843715e-13;2.472689128803009e-11;4.547473508864641e-13;,3.2155493553843715e-13;5.727300973212515e-11;4.547473508864641e-13;
True,inf,0,3,0,False,False,False,1.0,0.0;4.547473508864641e-13;0.0;,0.0;4.547473508864641e-13;2.2737367544323206e-13;
True,inf,0,3,0,False,False,False,1.0,8.198074455012805e-12;9.713407672867936e-13;9.094947017729282e-13;,1.100826779012114e-11;9.094947017729282e-13;9.094947017729282e-13;
True,inf,0,3,0,False,False,False,1.0,0.0;4.547473508864641e-13;4.578698399638287e-10;,4.547473508864641e-13;0.0;3.9721419709692564e-10;
True,inf,0,3,0,False,False,False,1.0,2.0109819873248703e-10;3.0470816666570784e-11;1.1368683772161603e-13;,4.336763637873747e-10;9.514387880913133e-11;2.2737367544323206e-13;
True,inf,0,3,0,False,False,False,1.0,1.016845989170083e-12;0.0;1.6077746776921858e-13;,6.821210263296962e-13;0.0;2.0495186137532011e-13;
True,inf,0,3,0,False,False,False,1.0,6.233367514443361e-13;4.547473508864641e-13;0.0;,5.518497755175417e-13;4.547473508864641e-13;4.547473508864641e-13;
