method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,n_delete,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,4,0,False,False,False,1.0,1,0.0,0.0,2.8421709430404007e-13,6.307232642705237e-11,0.0,4.856703836433968e-13,2.8421709430404007e-13,6.859453417988025e-11
inf,4,0,False,False,False,1.0,1,1.016845989170083e-12,1.1368683772161603e-13,2.8421709430404007e-13,0.0,9.094947017729282e-13,5.684341886080802e-14,7.279509460923746e-13,0.0
inf,4,0,False,False,False,1.0,1,4.547473508864641e-13,5.684341886080801e-13,1.368970808788651e-12,9.923187394675352e-11,0.0,5.684341886080801e-13,6.431098710768743e-13,1.133407028077227e-10
inf,4,0,False,False,False,1.0,1,0.0,0.0,1.224444715065716e-12,4.547473508864641e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13
inf,4,0,False,False,False,1.0,1,0.0,6.431098710768743e-13,5.691638739835132e-11,2.2737367544323206e-13,0.0,5.684341886080801e-13,3.6090199545244676e-11,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,1,0.0,4.547473508864641e-13,3.410605131648481e-13,7.701257488743961e-11,0.0,3.410605131648481e-13,5.115907697472721e-13,7.941300265135605e-11
inf,4,0,False,False,False,1.0,1,0.0,0.0,4.530744985456562e-11,0.0,0.0,0.0,1.6714768411918034e-11,0.0
inf,4,0,False,False,False,1.0,1,9.094947017729282e-13,1.1368683772161603e-13,9.165725883006586e-13,7.693836012407988e-12,0.0,1.1368683772161603e-13,7.958078640513122e-13,5.823607568738997e-12
inf,4,0,False,False,False,1.0,1,0.0,3.2155493553843715e-13,8.720247342363623e-11,2.2737367544323206e-13,0.0,0.0,1.5258112052382156e-10,0.0
inf,4,0,False,False,False,1.0,1,0.0,2.8512398253729313e-10,7.482931220943413e-10,0.0,1.016845989170083e-12,2.2854993489418692e-10,7.381484227490126e-10,0.0
inf,4,0,False,False,False,1.0,1,1.1368683772161603e-12,2.2737367544323206e-13,2.4347848504475305e-10,2.2737367544323206e-13,2.145038964057813e-12,2.2737367544323206e-13,1.9712789538467096e-10,9.094947017729282e-13
inf,4,0,False,False,False,1.0,1,4.1850692955145993e-10,3.410605131648481e-13,5.684341886080801e-13,8.62503159825257e-10,3.8571583448672103e-10,3.2155493553843715e-13,2.2737367544323206e-13,8.722855829117496e-10
inf,4,0,False,False,False,1.0,1,2.2737367544323206e-13,2.5421149729252077e-13,1.639614891002561e-12,0.0,2.2737367544323206e-13,0.0,2.5724394843074972e-12,0.0
inf,4,0,False,False,False,1.0,1,0.0,3.2155493553843715e-13,3.682119936616265e-12,9.094947017729282e-13,2.2737367544323206e-13,3.2155493553843715e-13,3.779125595109386e-12,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,1,0.0,0.0,3.201450417766119e-12,4.547473508864641e-13,0.0,3.2155493553843715e-13,9.094947017729282e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,1,0.0,5.084229945850415e-13,5.684341886080801e-13,0.0,2.2737367544323206e-13,4.547473508864641e-13,2.2737367544323206e-13,0.0
inf,4,0,False,False,False,1.0,1,2.2737367544323206e-13,2.2737367544323206e-13,4.547473508864641e-13,4.956375324822493e-10,0.0,4.547473508864641e-13,3.410605131648481e-13,4.613286363663521e-10
inf,4,0,False,False,False,1.0,1,9.374856803373542e-13,5.084229945850415e-13,1.1368683772161603e-13,6.821210263296962e-13,2.2737367544323206e-13,4.547473508864641e-13,1.016845989170083e-12,3.410605131648481e-12
inf,4,0,False,False,False,1.0,1,0.0,3.2155493553843715e-13,1.016845989170083e-12,0.0,0.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0
inf,4,0,False,False,False,1.0,1,2.2737367544323206e-13,2.2737367544323206e-13,9.165725883006586e-13,2.2737367544323206e-13,0.0,3.2155493553843715e-13,5.684341886080801e-13,1.1368683772161603e-13
inf,4,0,False,False,False,1.0,1,2.2737367544323206e-13,2.2737367544323206e-13,9.374856803373542e-13,1.1368683772161603e-13,9.094947017729282e-13,2.2737367544323206e-13,2.2737367544323206e-13,3.410605131648481e-13
inf,4,0,False,False,False,1.0,1,2.2737367544323206e-13,4.547473508864641e-13,2.7661201467245607e-12,0.0,2.2737367544323206e-13,0.0,9.374856803373542e-13,1.1368683772161603e-13
inf,4,0,False,False,False,1.0,2,0.0,1.5456393520578185e-11,2.8421709430404007e-13,0.0,4.547473508864641e-13,2.997885480699462e-11,4.0990372275064023e-13,0.0
inf,4,0,False,False,False,1.0,2,4.547473508864641e-13,2.0938140429682494e-11,0.0,0.0,4.547473508864641e-13,5.6043921241625185e-11,2.2737367544323206e-13,0.0
inf,4,0,False,False,False,1.0,2,5.628038166731531e-11,2.990633774508275e-12,7.389644451905042e-13,9.094947017729282e-13,5.5256949210812965e-11,2.2991740043103942e-12,1.7053025658242404e-13,1.016845989170083e-12
